"OD","LOC","SHK","OAL","2-Flute","3-Flute","4 Flute","2-Flute PowerA","3- Flute PowerA","4 Flute PowerA"
"1/2","1","1/2","3","209-262","210-262","211-262","209-262-1","210-262-1","211-262-1"
"1/2","1","1/2","4","204-248","","206-248","204-248-1","","206-248-1"
"1/2","1-1/2","1/2","6","204-250","","206-250","204-250-1","","206-250-1"
"1/2","2","1/2","4","204-252","","206-252","204-252-1","","206-252-1"
"1/2","3","1/2","6","204-254","","206-254","204-254-1","","206-254-1"
"9/16","1-1/4","9/16","3-1/2","209-264","210-264","211-264","209-264-1","210-264-1","211-264-1"
"5/8","3/4","5/8","3","213-128","","213-728","213-128-1","","213-728-1"
"5/8","1-1/4","5/8","3-1/2","209-266","210-266","211-266","209-266-1","210-266-1","211-266-1"
"5/8","2-1/4","5/8","5","204-256","","206-256","204-256-1","","206-256-1"
"5/8","3","5/8","6","204-258","","206-258","204-258-1","","206-258-1"
"11/16","1-1/2","3/4","4","209-268","210-268","211-268","209-268-1","210-268-1","211-268-1"
"3/4","1","3/4","3","213-130","","213-730","213-130-1","","213-730-1"
"3/4","1-1/2","3/4","4","209-270","210-270","211-270","209-270-1","210-270-1","211-270-1"
"3/4","2-1/4","3/4","5","204-260","","206-260","204-260-1","","206-260-1"
"3/4","3","3/4","6","204-262","","206-262","204-262-1","","206-262-1"
"7/8","1-1/2","7/8","4","209-272","210-272","211-272","209-272-1","210-272-1","211-272-1"
"1","1","1","3","213-132","","213-732","213-132-1","","213-732-1"
"1","1-1/2","1","4","209-274","210-274","211-274","209-274-1","210-274-1","211-274-1"
"1","2","1","6","204-264","","206-264","204-264-1","","206-264-1"
"1","3","1","6","204-266","","206-266","204-266-1","","206-266-1"
"1","4","1","6","204-268","","206-268","204-268-1","","206-268-1"
"1-1/4","2","1-1/4","4-1/2","209-276","210-276","211-276","209-276-1","210-276-1","211-276-1"
