"OD","LOC","SHK","OAL","2-Flute","3-Flute","4 Flute","2-Flute PowerA","3- Flute PowerA","4 Flute PowerA"
"5/16","1-1/8","5/16","3","204-022","","206-022","204-022-1","","206-022-1"
"5/16","1","5/16","4","204-024","","206-024","204-024-1","","206-024-1"
"5/16","1-5/8","5/16","4","204-026","","206-026","204-026-1","","206-026-1"
"5/16","1-1/2","5/16","6","204-028","","206-028","204-028-1","","206-028-1"
"21/64","7/8","3/8","2-1/2","209-040","210-040","211-040","209-040-1","210-040-1","211-040-1"
"11/32","7/8","3/8","2-1/2","209-042","210-042","211-042","209-042-1","210-042-1","211-042-1"
"23/64","7/8","3/8","2-1/2","209-044","210-044","211-044","209-044-1","210-044-1","211-044-1"
"3/8","5/8","3/8","2","213-022","","213-622","213-022-1","","213-622-1"
"3/8","7/8","3/8","2-1/2","209-046","210-046","211-046","209-046-1","210-046-1","211-046-1"
"3/8","1-1/8","3/8","3","204-030","","206-030","204-030-1","","206-030-1"
"3/8","1-3/4","3/8","4","204-032","","206-032","204-032-1","","206-032-1"
"3/8","2","3/8","4","204-034","","206-034","204-034-1","","206-034-1"
"3/8","1-1/2","3/8","6","204-036","","206-036","204-036-1","","206-036-1"
"3/8","3","3/8","6","204-038","","206-038","204-038-1","","206-038-1"
"25/64","7/8","7/16","2-1/2","209-048","210-048","211-048","209-048-1","210-048-1","211-048-1"
"13/32","7/8","7/16","2-1/2","209-050","210-050","211-050","209-050-1","210-050-1","211-050-1"
"27/64","7/8","7/16","2-1/2","209-052","210-052","211-052","209-052-1","210-052-1","211-052-1"
"7/16","5/8","7/16","2-1/2","213-024","","213-624","213-024-1","","213-624-1"
"7/16","1","7/16","2-1/2","209-054","210-054","211-054","209-054-1","210-054-1","211-054-1"
"7/16","1","7/16","4","204-040","","206-040","204-040-1","","206-040-1"
"7/16","2","7/16","4","204-042","","206-042","204-042-1","","206-042-1"
"7/16","1-1/2","7/16","6","204-044","","206-044","204-044-1","","206-044-1"
"7/16","3","7/16","6","204-046","","206-046","204-046-1","","206-046-1"
"29/64","1","1/2","3","209-056","210-056","211-056","209-056-1","210-056-1","211-056-1"
"15/32","1","1/2","3","209-058","210-058","211-058","209-058-1","210-058-1","211-058-1"
"31/64","1","1/2","3","209-060","210-060","211-060","209-060-1","210-060-1","211-060-1"
"1/2","5/8","1/2","2-1/2","213-026","","213-626","213-026-1","","213-626-1"
"1/2","1","1/2","3","209-062","210-062","211-062","209-062-1","210-062-1","211-062-1"
"1/2","1","1/2","4","204-048","","206-048","204-048-1","","206-048-1"
"1/2","1-1/2","1/2","6","204-050","","206-050","204-050-1","","206-050-1"
"1/2","2","1/2","4","204-052","","206-052","204-052-1","","206-052-1"
"1/2","3","1/2","6","204-054","","206-054","204-054-1","","206-054-1"
"9/16","1-1/4","9/16","3-1/2","209-064","210-064","211-064","209-064-1","210-064-1","211-064-1"
"5/8","3/4","5/8","3","213-028","","213-628","213-028-1","","213-628-1"
"5/8","1-1/4","5/8","3-1/2","209-066","210-066","211-066","209-066-1","210-066-1","211-066-1"
"5/8","2-1/4","5/8","5","204-056","","206-056","204-056-1","","206-056-1"
"5/8","3","5/8","6","204-058","","206-058","204-058-1","","206-058-1"
"11/16","1-1/2","3/4","4","209-068","210-068","211-068","209-068-1","210-068-1","211-068-1"
"3/4","1","3/4","3","213-030","","213-630","213-030-1","","213-630-1"
"3/4","1-1/2","3/4","4","209-070","210-070","211-070","209-070-1","210-070-1","211-070-1"
"3/4","2-1/4","3/4","5","204-060","","206-060","204-060-1","","206-060-1"
"3/4","3","3/4","6","204-062","","206-062","204-062-1","","206-062-1"
"7/8","1-1/2","7/8","4","209-072","210-072","211-072","209-072-1","210-072-1","211-072-1"
"1","1","1","3","213-032","","213-632","213-032-1","","213-632-1"
"1","1-1/2","1","4","209-074","210-074","211-074","209-074-1","210-074-1","211-074-1"
"1","2","1","6","204-064","","206-064","204-064-1","","206-064-1"
"1","3","1","6","204-066","","206-066","204-066-1","","206-066-1"
"1","4","1","6","204-068","","206-068","204-068-1","","206-068-1"
"1-1/4","2","1-1/4","4-1/2","209-076","210-076","211-076","209-076-1","210-076-1","211-076-1"
