"OD","LOC","SHK","OAL","Radius","2-Flute","4 Flute","2-Flute power A","4- Flute Power A"
"1/4","3/4","1/4","2-1/2",".020","209-422","211-422","209-422-1","211-422-1"
"1/4","3/4","1/4","2-1/2",".030","209-423","211-423","209-423-1","211-423-1"
"1/4","3/4","1/4","2-1/2",".045","209-424","211-424","209-424-1","211-424-1"
"1/4","3/4","1/4","2-1/2",".060","209-425","211-425","209-425-1","211-425-1"
"1/4","1-1/8","1/4","3",".010","204-430","206-430","204-430-1","206-430-1"
"1/4","1-1/8","1/4","3",".015","204-431","206-431","204-431-1","206-431-1"
"1/4","1-1/8","1/4","3",".020","204-432","206-432","204-432-1","206-432-1"
"1/4","1-1/8","1/4","3",".030","204-433","206-433","204-433-1","206-433-1"
"1/4","1-1/8","1/4","3",".045","204-434","206-434","204-434-1","206-434-1"
"1/4","1-1/8","1/4","3",".060","204-435","206-435","204-435-1","206-435-1"
"1/4","1","1/4","4",".010","204-440","206-440","204-440-1","206-440-1"
"1/4","1","1/4","4",".015","204-441","206-441","204-441-1","206-441-1"
"1/4","1","1/4","4",".020","204-442","206-442","204-442-1","206-442-1"
"1/4","1","1/4","4",".030","204-443","206-443","204-443-1","206-443-1"
"1/4","1","1/4","4",".045","204-444","206-444","204-444-1","206-444-1"
"1/4","1","1/4","4",".060","204-445","206-445","204-445-1","206-445-1"
"1/4","1-1/2","1/4","4",".010","204-450","206-450","204-450-1","206-450-1"
"1/4","1-1/2","1/4","4",".015","204-451","206-451","204-451-1","206-451-1"
"1/4","1-1/2","1/4","4",".020","204-452","206-452","204-452-1","206-452-1"
"1/4","1-1/2","1/4","4",".030","204-453","206-453","204-453-1","206-453-1"
"1/4","1-1/2","1/4","4",".045","204-454","206-454","204-454-1","206-454-1"
"1/4","1-1/2","1/4","4",".060","204-455","206-455","204-455-1","206-455-1"
"1/4","1-1/2","1/4","6",".010","204-460","206-460","204-460-1","206-460-1"
"1/4","1-1/2","1/4","6",".015","204-461","206-461","204-461-1","206-461-1"
"1/4","1-1/2","1/4","6",".020","204-462","206-462","204-462-1","206-462-1"
"1/4","1-1/2","1/4","6",".030","204-463","206-463","204-463-1","206-463-1"
"1/4","1-1/2","1/4","6",".045","204-464","206-464","204-464-1","206-464-1"
"1/4","1-1/2","1/4","6",".060","204-465","206-465","204-465-1","206-465-1"
"5/16","13/16","5/16","2-1/2",".015","209-431","211-431","209-431-1","211-431-1"
"5/16","13/16","5/16","2-1/2",".020","209-432","211-432","209-432-1","211-432-1"
"5/16","13/16","5/16","2-1/2",".030","209-433","211-433","209-433-1","211-433-1"
"5/16","13/16","5/16","2-1/2",".045","209-434","211-434","209-434-1","211-434-1"
"5/16","13/16","5/16","2-1/2",".060","209-435","211-435","209-435-1","211-435-1"
"5/16","1-1/8","5/16","3",".010","204-470","206-470","204-470-1","206-470-1"
"5/16","1-1/8","5/16","3",".015","204-471","206-471","204-471-1","206-471-1"
"5/16","1-1/8","5/16","3",".020","204-472","206-472","204-472-1","206-472-1"
"5/16","1-1/8","5/16","3",".030","204-473","206-473","204-473-1","206-473-1"
"5/16","1-1/8","5/16","3",".045","204-474","206-474","204-474-1","206-474-1"
"5/16","1-1/8","5/16","3",".060","204-475","206-475","204-475-1","206-475-1"
"5/16","1-1/8","5/16","3",".090","204-476","206-476","204-476-1","206-476-1"
"5/16","1-1/8","5/16","3",".125","204-477","206-477","204-477-1","206-477-1"
"5/16","1-5/8","5/16","4",".010","204-480","206-480","204-480-1","206-480-1"
"5/16","1-5/8","5/16","4",".015","204-481","206-481","204-481-1","206-481-1"
"5/16","1-5/8","5/16","4",".020","204-482","206-482","204-482-1","206-482-1"
"5/16","1-5/8","5/16","4",".030","204-483","206-483","204-483-1","206-483-1"
"5/16","1-5/8","5/16","4",".045","204-484","206-484","204-484-1","206-484-1"
"5/16","1-5/8","5/16","4",".060","204-485","206-485","204-485-1","206-485-1"
"5/16","1-5/8","5/16","4",".090","204-486","206-486","204-486-1","206-486-1"
"5/16","1-5/8","5/16","4",".125","204-487","206-487","204-487-1","206-487-1"
"3/8","1","3/8","2-1/2",".015","209-441","211-441","209-441-1","211-441-1"
"3/8","1","3/8","2-1/2",".020","209-442","211-442","209-442-1","211-442-1"
"3/8","1","3/8","2-1/2",".030","209-443","211-443","209-443-1","211-443-1"
"3/8","1","3/8","2-1/2",".045","209-444","211-444","209-444-1","211-444-1"
"3/8","1","3/8","2-1/2",".060","209-445","211-445","209-445-1","211-445-1"
"3/8","1-1/8","3/8","3",".010","204-490","206-490","204-490-1","206-490-1"
"3/8","1-1/8","3/8","3",".015","204-491","206-491","204-491-1","206-491-1"
"3/8","1-1/8","3/8","3",".020","204-492","206-492","204-492-1","206-492-1"
"3/8","1-1/8","3/8","3",".030","204-493","206-493","204-493-1","206-493-1"
"3/8","1-1/8","3/8","3",".045","204-494","206-494","204-494-1","206-494-1"
"3/8","1-1/8","3/8","3",".060","204-495","206-495","204-495-1","206-495-1"
"3/8","1-1/8","3/8","3",".090","204-496","206-496","204-496-1","206-496-1"
"3/8","1-1/8","3/8","3",".125","204-497","206-497","204-497-1","206-497-1"
"3/8","1-3/4","3/8","4",".010","204-500","206-500","204-500-1","206-500-1"
"3/8","1-3/4","3/8","4",".015","204-501","206-501","204-501-1","206-501-1"
"3/8","1-3/4","3/8","4",".020","204-502","206-502","204-502-1","206-502-1"
"3/8","1-3/4","3/8","4",".030","204-503","206-503","204-503-1","206-503-1"
"3/8","1-3/4","3/8","4",".045","204-504","206-504","204-504-1","206-504-1"
"3/8","1-3/4","3/8","4",".060","204-505","206-505","204-505-1","206-505-1"
"3/8","1-3/4","3/8","4",".090","204-506","206-506","204-506-1","206-506-1"
"3/8","1-3/4","3/8","4",".125","204-507","206-507","204-507-1","206-507-1"
"3/8","2","3/8","4",".010","204-510","206-510","204-510-1","206-510-1"
"3/8","2","3/8","4",".015","204-511","206-511","204-511-1","206-511-1"
"3/8","2","3/8","4",".020","204-512","206-512","204-512-1","206-512-1"
"3/8","2","3/8","4",".030","204-513","206-513","204-513-1","206-513-1"
"3/8","2","3/8","4",".045","204-514","206-514","204-514-1","206-514-1"
"3/8","2","3/8","4",".060","204-515","206-515","204-515-1","206-515-1"
"3/8","2","3/8","4",".090","204-516","206-516","204-516-1","206-516-1"
"3/8","2","3/8","4",".125","204-517","206-517","204-517-1","206-517-1"
"3/8","1-1/2","3/8","6",".010","204-520","206-520","204-520-1","206-520-1"
"3/8","1-1/2","3/8","6",".015","204-521","206-521","204-521-1","206-521-1"
"3/8","1-1/2","3/8","6",".020","204-522","206-522","204-522-1","206-522-1"
"3/8","1-1/2","3/8","6",".030","204-523","206-523","204-523-1","206-523-1"
"3/8","1-1/2","3/8","6",".045","204-524","206-524","204-524-1","206-524-1"
"3/8","1-1/2","3/8","6",".060","204-525","206-525","204-525-1","206-525-1"
"3/8","1-1/2","3/8","6",".090","204-526","206-526","204-526-1","206-526-1"
"3/8","1-1/2","3/8","6",".125","204-527","206-527","204-527-1","206-527-1"
"3/8","3","3/8","6",".010","204-530","206-530","204-530-1","206-530-1"
"3/8","3","3/8","6",".015","204-531","206-531","204-531-1","206-531-1"
"3/8","3","3/8","6",".020","204-532","206-532","204-532-1","206-532-1"
"3/8","3","3/8","6",".030","204-533","206-533","204-533-1","206-533-1"
"3/8","3","3/8","6",".045","204-534","206-534","204-534-1","206-534-1"
"3/8","3","3/8","6",".060","204-535","206-535","204-535-1","206-535-1"
"3/8","3","3/8","6",".090","204-536","206-536","204-536-1","206-536-1"
"3/8","3","3/8","6",".125","204-537","206-537","204-537-1","206-537-1"
"5/16","1-1/2","5/16","6",".010","204-540","206-540","204-540-1","206-540-1"
"5/16","1-1/2","5/16","6",".015","204-541","206-541","204-541-1","206-541-1"
"5/16","1-1/2","5/16","6",".020","204-542","206-542","204-542-1","206-542-1"
"5/16","1-1/2","5/16","6",".030","204-543","206-543","204-543-1","206-543-1"
"5/16","1-1/2","5/16","6",".045","204-544","206-544","204-544-1","206-544-1"
"5/16","1-1/2","5/16","6",".060","204-545","206-545","204-545-1","206-545-1"
"5/16","1-1/2","5/16","6",".090","204-546","206-546","204-546-1","206-546-1"
"5/16","1-1/2","5/16","6",".125","204-547","206-547","204-547-1","206-547-1"
"7/16","2","7/16","4",".010","204-550","206-550","204-550-1","206-550-1"
"7/16","2","7/16","4",".015","204-551","206-551","204-551-1","206-551-1"
"7/16","2","7/16","4",".020","204-552","206-552","204-552-1","206-552-1"
"7/16","2","7/16","4",".030","204-553","206-553","204-553-1","206-553-1"
"7/16","2","7/16","4",".045","204-554","206-554","204-554-1","206-554-1"
"7/16","2","7/16","4",".060","204-555","206-555","204-555-1","206-555-1"
"7/16","2","7/16","4",".090","204-556","206-556","204-556-1","206-556-1"
"7/16","2","7/16","4",".125","204-557","206-557","204-557-1","206-557-1"
"7/16","3","7/16","6",".010","204-560","206-560","204-560-1","206-560-1"
"7/16","3","7/16","6",".015","204-561","206-561","204-561-1","206-561-1"
"7/16","3","7/16","6",".020","204-562","206-562","204-562-1","206-562-1"
"7/16","3","7/16","6",".030","204-563","206-563","204-563-1","206-563-1"
"7/16","3","7/16","6",".045","204-564","206-564","204-564-1","206-564-1"
"7/16","3","7/16","6",".060","204-565","206-565","204-565-1","206-565-1"
"7/16","3","7/16","6",".090","204-566","206-566","204-566-1","206-566-1"
"7/16","3","7/16","6",".125","204-567","206-567","204-567-1","206-567-1"
"1/2","1","1/2","3",".010","209-450","211-450","209-450-1","211-450-1"
"1/2","1","1/2","3",".015","209-451","211-451","209-451-1","211-451-1"
"1/2","1","1/2","3",".020","209-452","211-452","209-452-1","211-452-1"
"1/2","1","1/2","3",".030","209-453","211-453","209-453-1","211-453-1"
"1/2","1","1/2","3",".045","209-454","211-454","209-454-1","211-454-1"
"1/2","1","1/2","3",".060","209-455","211-455","209-455-1","211-455-1"
"1/2","1","1/2","3",".090","209-456","211-456","209-456-1","211-456-1"
"1/2","1","1/2","4",".010","204-570","206-570","204-570-1","206-570-1"
"1/2","1","1/2","4",".015","204-571","206-571","204-571-1","206-571-1"
"1/2","1","1/2","4",".020","204-572","206-572","204-572-1","206-572-1"
"1/2","1","1/2","4",".030","204-573","206-573","204-573-1","206-573-1"
"1/2","1","1/2","4",".045","204-574","206-574","204-574-1","206-574-1"
"1/2","1","1/2","4",".060","204-575","206-575","204-575-1","206-575-1"
"1/2","1","1/2","4",".090","204-576","206-576","204-576-1","206-576-1"
"1/2","1","1/2","4",".125","204-577","206-577","204-577-1","206-577-1"
"1/2","1-1/2","1/2","6",".010","204-580","206-580","204-580-1","206-580-1"
"1/2","1-1/2","1/2","6",".015","204-581","206-581","204-581-1","206-581-1"
"1/2","1-1/2","1/2","6",".020","204-582","206-582","204-582-1","206-582-1"
"1/2","1-1/2","1/2","6",".030","204-583","206-583","204-583-1","206-583-1"
"1/2","1-1/2","1/2","6",".045","204-584","206-584","204-584-1","206-584-1"
"1/2","1-1/2","1/2","6",".060","204-585","206-585","204-585-1","206-585-1"
"1/2","1-1/2","1/2","6",".090","204-586","206-586","204-586-1","206-586-1"
"1/2","1-1/2","1/2","6",".125","204-587","206-587","204-587-1","206-587-1"
"1/2","2","1/2","4",".010","204-590","206-590","204-590-1","206-590-1"
"1/2","2","1/2","4",".015","204-591","206-591","204-591-1","206-591-1"
"1/2","2","1/2","4",".020","204-592","206-592","204-592-1","206-592-1"
"1/2","2","1/2","4",".030","204-593","206-593","204-593-1","206-593-1"
"1/2","2","1/2","4",".045","204-594","206-594","204-594-1","206-594-1"
"1/2","2","1/2","4",".060","204-595","206-595","204-595-1","206-595-1"
"1/2","2","1/2","4",".090","204-596","206-596","204-596-1","206-596-1"
"1/2","2","1/2","4",".125","204-597","206-597","204-597-1","206-597-1"
"1/2","3","1/2","6",".010","204-600","206-600","204-600-1","206-600-1"
"1/2","3","1/2","6",".015","204-601","206-601","204-601-1","206-601-1"
"1/2","3","1/2","6",".020","204-602","206-602","204-602-1","206-602-1"
"1/2","3","1/2","6",".030","204-603","206-603","204-603-1","206-603-1"
"1/2","3","1/2","6",".045","204-604","206-604","204-604-1","206-604-1"
"1/2","3","1/2","6",".060","204-605","206-605","204-605-1","206-605-1"
"1/2","3","1/2","6",".090","204-606","206-606","204-606-1","206-606-1"
"1/2","3","1/2","6",".125","204-607","206-607","204-607-1","206-607-1"
"5/8","1-1/4","5/8","3-1/2",".015","209-461","211-461","209-461-1","211-461-1"
"5/8","1-1/4","5/8","3-1/2",".020","209-462","211-462","209-462-1","211-462-1"
"5/8","1-1/4","5/8","3-1/2",".030","209-463","211-463","209-463-1","211-463-1"
"5/8","1-1/4","5/8","3-1/2",".045","209-464","211-464","209-464-1","211-464-1"
"5/8","1-1/4","5/8","3-1/2",".060","209-465","211-465","209-465-1","211-465-1"
"5/8","1-1/4","5/8","3-1/2",".090","209-466","211-466","209-466-1","211-466-1"
"5/8","2-1/4","5/8","5",".010","204-610","206-610","204-610-1","206-610-1"
"5/8","2-1/4","5/8","5",".015","204-611","206-611","204-611-1","206-611-1"
"5/8","2-1/4","5/8","5",".020","204-612","206-612","204-612-1","206-612-1"
"5/8","2-1/4","5/8","5",".030","204-613","206-613","204-613-1","206-613-1"
"5/8","2-1/4","5/8","5",".045","204-614","206-614","204-614-1","206-614-1"
"5/8","2-1/4","5/8","5",".060","204-615","206-615","204-615-1","206-615-1"
"5/8","2-1/4","5/8","5",".090","204-616","206-616","204-616-1","206-616-1"
"5/8","2-1/4","5/8","5",".125","204-617","206-617","204-617-1","206-617-1"
"5/8","3","5/8","6",".010","204-620","206-620","204-620-1","206-620-1"
"5/8","3","5/8","6",".015","204-621","206-621","204-621-1","206-621-1"
"5/8","3","5/8","6",".020","204-622","206-622","204-622-1","206-622-1"
"5/8","3","5/8","6",".030","204-623","206-623","204-623-1","206-623-1"
"5/8","3","5/8","6",".045","204-624","206-624","204-624-1","206-624-1"
"5/8","3","5/8","6",".060","204-625","206-625","204-625-1","206-625-1"
"5/8","3","5/8","6",".090","204-626","206-626","204-626-1","206-626-1"
"5/8","3","5/8","6",".125","204-627","206-627","204-627-1","206-627-1"
"3/4","1-1/2","3/4","4",".015","209-471","211-471","209-471-1","211-471-1"
"3/4","1-1/2","3/4","4",".020","209-472","211-472","209-472-1","211-472-1"
"3/4","1-1/2","3/4","4",".030","209-473","211-473","209-473-1","211-473-1"
"3/4","1-1/2","3/4","4",".045","209-474","211-474","209-474-1","211-474-1"
"3/4","1-1/2","3/4","4",".060","209-475","211-475","209-475-1","211-475-1"
"3/4","1-1/2","3/4","4",".090","209-476","211-476","209-476-1","211-476-1"
"3/4","2-1/4","3/4","5",".015","204-631","206-631","204-631-1","206-631-1"
"3/4","2-1/4","3/4","5",".020","204-632","206-632","204-632-1","206-632-1"
"3/4","2-1/4","3/4","5",".030","204-633","206-633","204-633-1","206-633-1"
"3/4","2-1/4","3/4","5",".045","204-634","206-634","204-634-1","206-634-1"
"3/4","2-1/4","3/4","5",".060","204-635","206-635","204-635-1","206-635-1"
"3/4","2-1/4","3/4","5",".090","204-636","206-636","204-636-1","206-636-1"
"3/4","2-1/4","3/4","5",".125","204-637","206-637","204-637-1","206-637-1"
"3/4","3","3/4","6",".015","204-641","206-641","204-641-1","206-641-1"
"3/4","3","3/4","6",".020","204-642","206-642","204-642-1","206-642-1"
"3/4","3","3/4","6",".030","204-643","206-643","204-643-1","206-643-1"
"3/4","3","3/4","6",".045","204-644","206-644","204-644-1","206-644-1"
"3/4","3","3/4","6",".060","204-645","206-645","204-645-1","206-645-1"
"3/4","3","3/4","6",".090","204-646","206-646","204-646-1","206-646-1"
"3/4","3","3/4","6",".125","204-647","206-647","204-647-1","206-647-1"
"1","1-1/2","1","4",".015","209-481","211-481","209-481-1","211-481-1"
"1","1-1/2","1","4",".020","209-482","211-482","209-482-1","211-482-1"
"1","1-1/2","1","4",".030","209-483","211-483","209-483-1","211-483-1"
"1","1-1/2","1","4",".045","209-484","211-484","209-484-1","211-484-1"
"1","1-1/2","1","4",".060","209-485","211-485","209-485-1","211-485-1"
"1","1-1/2","1","4",".090","209-486","211-486","209-486-1","211-486-1"
"1","3","1","6",".015","204-651","206-651","204-651-1","206-651-1"
"1","3","1","6",".020","204-652","206-652","204-652-1","206-652-1"
"1","3","1","6",".030","204-653","206-653","204-653-1","206-653-1"
"1","3","1","6",".045","204-654","206-654","204-654-1","206-654-1"
"1","3","1","6",".060","204-655","206-655","204-655-1","206-655-1"
"1","3","1","6",".090","204-656","206-656","204-656-1","206-656-1"
"1","3","1","6",".125","204-657","206-657","204-657-1","206-657-1"
