"OD","LOC","SHK","OAL","Radius","PowerA","PowerA With Flat"
"14","25","14","88","4.00","500-508-1","500-508W-1"
"14","56","14","125","0.50","501-471-1","501-471W-1"
"14","56","14","125","0.75","501-472-1","501-472W-1"
"14","56","14","125","1.00","501-473-1","501-473W-1"
"14","56","14","125","1.50","501-475-1","501-475W-1"
"14","56","14","125","2.00","501-476-1","501-476W-1"
"14","56","14","125","3.00","501-477-1","501-477W-1"
"14","56","14","125","4.00","501-478-1","501-478W-1"
"16","32","16","88","0.50","500-511-1","500-511W-1"
"16","32","16","88","0.75","500-512-1","500-512W-1"
"16","32","16","88","1.00","500-513-1","500-513W-1"
"16","32","16","88","1.50","500-515-1","500-515W-1"
"16","32","16","88","2.00","500-516-1","500-516W-1"
"16","32","16","88","3.00","500-517-1","500-517W-1"
"16","32","16","88","4.00","500-518-1","500-518W-1"
"16","56","16","150","0.50","501-481-1","501-481W-1"
"16","56","16","150","0.75","501-482-1","501-482W-1"
"16","56","16","150","1.00","501-483-1","501-483W-1"
"16","56","16","150","1.50","501-485-1","501-485W-1"
"16","56","16","150","2.00","501-486-1","501-486W-1"
"16","56","16","150","3.00","501-487-1","501-487W-1"
"16","56","16","150","4.00","501-488-1","501-488W-1"
"18","36","18","100","0.50","500-521-1","500-521W-1"
"18","36","18","100","0.75","500-522-1","500-522W-1"
"18","36","18","100","1.00","500-523-1","500-523W-1"
"18","36","18","100","1.50","500-525-1","500-525W-1"
"18","36","18","100","2.00","500-526-1","500-526W-1"
"18","36","18","100","3.00","500-527-1","500-527W-1"
"18","36","18","100","4.00","500-528-1","500-528W-1"
"18","56","18","150","0.50","501-491-1","501-491W-1"
"18","56","18","150","0.75","501-492-1","501-492W-1"
"18","56","18","150","1.00","501-493-1","501-493W-1"
"18","56","18","150","1.50","501-495-1","501-495W-1"
"18","56","18","150","2.00","501-496-1","501-496W-1"
"18","56","18","150","3.00","501-497-1","501-497W-1"
"18","56","18","150","4.00","501-498-1","501-498W-1"
"20","38","20","100","0.50","500-531-1","500-531W-1"
"20","38","20","100","0.75","500-532-1","500-532W-1"
"20","38","20","100","1.00","500-533-1","500-533W-1"
"20","38","20","100","1.50","500-535-1","500-535W-1"
"20","38","20","100","2.00","500-536-1","500-536W-1"
"20","38","20","100","3.00","500-537-1","500-537W-1"
"20","38","20","100","4.00","500-538-1","500-538W-1"
"20","38","20","100","5.00","500-539-1","500-539W-1"
"20","56","20","150","0.50","501-501-1","501-501W-1"
"20","56","20","150","0.75","501-502-1","501-502W-1"
"20","56","20","150","1.00","501-503-1","501-503W-1"
"20","56","20","150","1.50","501-505-1","501-505W-1"
"20","56","20","150","2.00","501-506-1","501-506W-1"
"20","56","20","150","3.00","501-507-1","501-507W-1"
"20","56","20","150","4.00","501-508-1","501-508W-1"
"20","56","20","150","5.00","501-509-1","501-509W-1"
"25","38","25","100","0.50","500-541-1","500-541W-1"
"25","38","25","100","0.75","500-542-1","500-542W-1"
"25","38","25","100","1.00","500-543-1","500-543W-1"
"25","38","25","100","1.50","500-545-1","500-545W-1"
"25","38","25","100","2.00","500-546-1","500-546W-1"
"25","38","25","100","3.00","500-547-1","500-547W-1"
"25","38","25","100","4.00","500-548-1","500-548W-1"
"25","38","25","100","5.00","500-549-1","500-549W-1"
"25","70","25","150","0.50","501-511-1","501-511W-1"
"25","70","25","150","0.75","501-512-1","501-512W-1"
"25","70","25","150","1.00","501-513-1","501-513W-1"
"25","70","25","150","1.50","501-515-1","501-515W-1"
"25","70","25","150","2.00","501-516-1","501-516W-1"
"25","70","25","150","3.00","501-517-1","501-517W-1"
"25","70","25","150","4.00","501-518-1","501-518W-1"
"25","70","25","150","5.00","501-519-1","501-519W-1"
