"OD","LOC","SHK","OAL","Radius","PowerA No Flat","Power A With Flat"
"3/4","2-1/4","3/4","5",".090","409-446-1","409-446W-1"
"3/4","3","3/4","6",".015","409-451-1","409-451W-1"
"3/4","3","3/4","6",".020","409-452-1","409-452W-1"
"3/4","3","3/4","6",".030","409-453-1","409-453W-1"
"3/4","3","3/4","6",".045","409-454-1","409-454W-1"
"3/4","3","3/4","6",".060","409-455-1","409-455W-1"
"3/4","3","3/4","6",".090","409-456-1","409-456W-1"
"1","1-1/2","1","4",".015","408-521-1","408-521W-1"
"1","1-1/2","1","4",".020","408-522-1","408-522W-1"
"1","1-1/2","1","4",".030","408-523-1","408-523W-1"
"1","1-1/2","1","4",".045","408-524-1","408-524W-1"
"1","1-1/2","1","4",".060","408-525-1","408-525W-1"
"1","1-1/2","1","4",".090","408-526-1","408-526W-1"
"1","2-1/4","1","5",".015","409-461-1","409-461W-1"
"1","2-1/4","1","5",".020","409-462-1","409-462W-1"
"1","2-1/4","1","5",".030","409-463-1","409-463W-1"
"1","2-1/4","1","5",".045","409-464-1","409-464W-1"
"1","2-1/4","1","5",".060","409-465-1","409-465W-1"
"1","2-1/4","1","5",".090","409-466-1","409-466W-1"
"1","3","1","6",".015","409-471-1","409-471W-1"
"1","3","1","6",".020","409-472-1","409-472W-1"
"1","3","1","6",".030","409-473-1","409-473W-1"
"1","3","1","6",".045","409-474-1","409-474W-1"
"1","3","1","6",".060","409-475-1","409-475W-1"
"1","3","1","6",".090","409-476-1","409-476W-1"
"1","4","1","7",".015","409-481-1","409-481W-1"
"1","4","1","7",".020","409-482-1","409-482W-1"
"1","4","1","7",".030","409-483-1","409-483W-1"
"1","4","1","7",".045","409-484-1","409-484W-1"
"1","4","1","7",".060","409-485-1","409-485W-1"
"1","4","1","7",".090","409-486-1","409-486W-1"
